occ_nm,gndr_ind
LABORER,neutral
"CHILD, YOUNGSTER",neutral
UNKNOWN,neutral
WIFE,female
FARMER,male
INFANT,neutral
TAILOR,male
"SERVANT, GENTLEMAN'S SERVANT",male
MERCHANT,male
WOMAN,female
SPINSTER,female
DEALER,male
SHOEMAKER,male
FAMILY,neutral
PEDDLER,male
JOINER,male
SON,male
TRADESMAN,male
SMITH,male
BUTCHER,male
MATRON,female
PAINTER,male
CARPENTER,male
DOMESTIC,neutral
CLERK,male
BAKER,male
CIGAR MAKER,male
MINER,male
HELPER,neutral
TRADER,male
LOCKSMITH,male
BOY,male
WATCHMAKER,male
HOUSEWIFE,female
MILLER,male
MASON,male
SAILOR,male
BOOKBINDER,male
SEAMSTRESS,female
ENGINEER,male
WEAVER,neutral
TEACHER,neutral
BARBER,male
NONE,neutral
HOUSEKEEPER,female
BLACKSMITH,male
GLAZIER,male
DRESSMAKER,female
HATTER,neutral
MECHANIC,male
SADDLER,male
CAP MAKER,neutral
MUSICIAN,male
BOOT & SHOE MAKER,male
TINNER/TINMAN,male
"FARM LABORER, FARMBOY",male
GOLDSMITH,male
FURRIER,male
JEWELER,male
SEAMAN,male
BREWER,male
STUDENT/SCHOLASTIC,male
"GARDENER, GROWER",male
PRINTER,male
SISTER,female
MOTHER,female
"MACHINIST, MACHINE OPERATOR",male
"WIDOW/WIDOWER, GRASS WIDOW",neutral
GENTLEMAN,male
WIRE MAKER,male
CABINET MAKER,male
"ARTIST, SCENIC ARTIST",male
TOURIST,male
SCHOLAR,male
"BRICKLAYER, MAURER",male
COOK,female
TINSMITH,male
TANNER,male
LADY,female
COOPER,male
WAITER,male
DYER,male
UPHOLSTERER,male
TURNER,male
PLUMBER,male
TRAVELER,male
PHOTOGRAPHER,male
GRANDPARENT,neutral
BRUSH MAKER,male
